ID,Case,Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
17538,4813416,HM425518,07/01/2005 12:00:00 PM,076XX S MARSHFIELD AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,611,6,17,71,6,,,2005,08/17/2015 03:03:40 PM,,,
38705,4729407,HM337767,07/01/2005 12:00:00 PM,051XX S LOOMIS BLVD,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,933,9,16,61,6,1167869,1870626,2005,04/15/2016 08:55:02 AM,41.80053853,-87.659899154,"(41.80053853, -87.659899154)"
1376,4675455,HM276848,07/01/2005 12:01:00 AM,034XX S WESTERN BLVD,890,THEFT,FROM BUILDING,APARTMENT,False,False,913,9,11,59,6,1161090,1881850,2005,04/15/2016 08:55:02 AM,41.831481589,-87.684449168,"(41.831481589, -87.684449168)"
13883,4693444,HM281457,07/01/2005 12:01:00 AM,132XX S CORLISS AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CHA APARTMENT,False,False,533,5,9,54,17,1184023,1817706,2005,04/15/2016 08:55:02 AM,41.654957414,-87.602305999,"(41.654957414, -87.602305999)"
50466,4746907,HM345903,07/01/2005 12:01:00 AM,002XX W 105TH ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,512,5,34,49,5,1176504,1835313,2005,04/15/2016 08:55:02 AM,41.703445434,-87.629291729,"(41.703445434, -87.629291729)"
41848,4734115,HL460545,07/03/2005 06:48:00 PM,087XX S COTTAGE GROVE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,False,False,632,6,6,44,11,1183086,1847385,2005,04/15/2016 08:55:02 AM,41.736422269,-87.604815966,"(41.736422269, -87.604815966)"
35230,4842354,HM454175,07/04/2005 01:30:00 AM,108XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,2234,22,34,75,08B,,,2005,08/17/2015 03:03:40 PM,,,
35119,4841655,HM455589,07/04/2005 09:30:00 PM,057XX N RIDGE AVE,810,THEFT,OVER $500,OTHER,False,False,2013,20,48,77,6,,,2005,08/17/2015 03:03:40 PM,,,
38744,4729458,HM338014,07/05/2005 02:00:00 PM,036XX N MILWAUKEE AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,False,1731,17,38,16,08A,1146726,1923676,2005,04/15/2016 08:55:02 AM,41.946542477,-87.736084376,"(41.946542477, -87.736084376)"
37075,4844942,HM458156,07/05/2005 08:45:00 PM,010XX W NORTH AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,1811,18,32,7,6,,,2005,08/17/2015 03:03:40 PM,,,
37124,4845123,HM458350,07/05/2005 09:30:00 PM,009XX W 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,733,7,17,68,14,,,2005,08/17/2015 03:03:40 PM,,,
4202,4867843,HM457258,07/05/2005 09:40:00 PM,047XX S VINCENNES AVE,460,BATTERY,SIMPLE,STREET,True,False,223,2,3,38,08B,,,2005,08/17/2015 03:03:40 PM,,,
21137,4820436,HM428737,07/06/2005 10:30:00 PM,080XX S WOLCOTT AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,False,611,6,18,71,2,,,2005,08/17/2015 03:03:40 PM,,,
48328,4743733,HL467325,07/07/2005 08:40:00 PM,026XX W PERSHING RD,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENCE,True,False,912,9,12,58,15,1159350,1878694,2005,04/15/2016 08:55:02 AM,41.82285704,-87.69092,"(41.82285704, -87.69092)"
17585,4699134,HM302623,07/07/2005 12:00:00 AM,0000X W 24TH ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,CHA PARKING LOT/GROUNDS,False,False,134,1,3,33,6,1176265,1888434,2005,04/15/2016 08:55:02 AM,41.849220554,-87.62857278,"(41.849220554, -87.62857278)"
57230,4756995,HM364246,07/07/2005 12:00:00 AM,014XX W JARVIS AVE,890,THEFT,FROM BUILDING,RESIDENCE,False,False,2422,24,49,1,6,1165314,1949151,2005,04/15/2016 08:55:02 AM,42.016070938,-87.667032181,"(42.016070938, -87.667032181)"
44416,4856711,HM460408,07/07/2005 12:55:00 PM,054XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,True,False,932,9,16,61,14,,,2005,08/17/2015 03:03:40 PM,,,
10171,4688286,HL470732,07/08/2005 03:51:00 PM,055XX S WASHTENAW AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,False,False,824,8,16,63,15,1159318,1867747,2005,04/15/2016 08:55:02 AM,41.79281773,-87.69133739,"(41.79281773, -87.69133739)"
39558,4848895,HM462976,07/09/2005 12:00:00 AM,076XX S CHAPPEL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,414,4,8,43,26,,,2005,08/17/2015 03:03:40 PM,,,
16147,4810926,HM425369,07/12/2005 10:00:00 AM,044XX N MOBILE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1622,16,38,15,26,,,2005,08/17/2015 03:03:40 PM,,,
21073,4704169,HM309491,07/13/2005 08:00:00 AM,053XX W JACKSON BLVD,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1522,15,29,25,6,1140911,1898155,2005,04/15/2016 08:55:02 AM,41.876619193,-87.758087946,"(41.876619193, -87.758087946)"
50642,4866327,HM477822,07/14/2005 06:00:00 PM,070XX S MERRILL AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,False,False,331,3,5,43,26,,,2005,08/17/2015 03:03:40 PM,,,
47153,4861380,HM475045,07/14/2005 10:45:00 AM,008XX W FOSTER DR,820,THEFT,$500 AND UNDER,PARK PROPERTY,False,False,2024,20,48,3,6,,,2005,08/17/2015 03:03:40 PM,,,
35781,4725467,HL484594,07/14/2005 11:32:00 PM,046XX W 47TH ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,815,8,23,56,16,1145998,1873061,2005,04/15/2016 08:55:02 AM,41.807662756,-87.740046349,"(41.807662756, -87.740046349)"
332,4674103,HM275001,07/14/2005 12:01:00 AM,007XX N CENTRAL AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1524,15,37,25,6,1138895,1904267,2005,04/15/2016 08:55:02 AM,41.893428145,-87.765341632,"(41.893428145, -87.765341632)"
